ID Cliente	Zona	Pa√≠	Tipo de producto	Canal de venta	Prioridad	Fecha pedido	ID Pedido	Fecha env√≠	Unidades	Precio Unitario	Coste unitario	Importe venta total	Importe Coste total
C1	Europa	United Kingdom	Snacks	Offline	Cr√≠tic	44116	100884807	44165	5530	152,58	97,44	843767,4	538843,2
C10	Australia y Ocean√≠	Australia	Material de oficina	Online	Media	44362	111818778	44389	9347	651,21	524,96	6086859,87	4906801,12
C100	Asia	North Korea	Snacks	Offline	Baja	44788	180418097	44814	5279	152,58	97,44	805469,82	514385,76
C1000	¡frica	Rwanda	Ropa	Offline	Cr√≠tic	44583	998791825	44593	3420	109,28	35,84	373737,6	122572,8
C1001	Asia	Indonesia	Snacks	Offline	Cr√≠tic	44116	998791825	44165	5843	152,58	97,44	843767,4	538843,2
C1002	¡frica	Iraq	C√°rnico	Online	Alta	43856	998791825	43858	2637	47,45	364,69	419358,66	362501,86
C1003	Asia	Singapore	Cereales	Online	Cr√≠tic	44144	998791825	44156	4827	154,06	117,11	1408016,5	801617,95
C1004	Asia	South Korea	Frutas	Offline	Baja	44429	998791825	44471	3200	9,33	6,92	91489,98	67857,52
C1005	¡frica	Lebanon	Alimento infantil	Offline	Media	44834	998791825	44877	5572	81,73	159,42	927432,24	579172,86
C1006	Asia	Myanmar	Bebida	Offline	Baja	44582	998791825	44613	1793	437,2	31,79	195019,5	130656,9
C1007	Asia	Vietnam	Snacks	Offline	Media	44609	998791825	44619	8743	152,58	97,44	618864,48	395216,64
C1008	¡frica	Jordan	Cosm√©tico	Offline	Media	43911	998791825	43958	5331	651,21	263,33	3637066,8	2190642,27
C1009	Australia y Ocean√≠	Palau	Cuidado personal	Offline	Cr√≠tic	44240	998791825	44287	7502	651,21	56,67	717507,67	497505,93
C101	Asia	Uzbekistan	Cereales	Offline	Alta	44436	182393920	44436	9882	205,7	117,11	2032727,4	1157281,02
C1010	Centroam√©rica y Carib	Antigua and Barbuda 	Material de oficina	Online	Media	44362	998791825	44389	3228	81,73	524,96	6086859,87	4906801,12
C1011	Australia y Ocean√≠	Papua New Guinea	Cosm√©tico	Online	Alta	44757	998791825	44803	7514	437,2	263,33	422335,2	254376,78
C1012	Centroam√©rica y Carib	El Salvador	Snacks	Online	Cr√≠tic	43964	998791825	43987	7397	152,58	97,44	1008401,22	643980,96
C1013	¡frica	Republic of the Congo	Bebida	Offline	Cr√≠tic	44322	998791825	44338	6944	109,28	31,79	298033,45	199672,99
C1014	Australia y Ocean√≠	Vanuatu	Verduras	Offline	Alta	44142	998791825	44190	2253	154,06	90,93	310893,08	183496,74
C1015	Asia	Bangladesh	Frutas	Offline	Cr√≠tic	44489	998791825	44517	6454	81,73	6,92	26945,04	19984,96
C1016	¡frica	Burundi	Cuidado personal	Offline	Cr√≠tic	44490	998791825	44518	4709	109,28	56,67	816400,97	566076,63
